states,method,prior,escapement,harvest
0,low,0,-0.42424242424242425,0.42424242424242425
0.020202020202020204,low,0.0028017153614975435,0.020202020202020204,0
0.04040404040404041,low,0.005802085065597318,0.04040404040404041,0
0.06060606060606061,low,0.013663823153914,0.06060606060606061,0
0.08080808080808081,low,0.028158147290847358,0.08080808080808081,0
0.10101010101010102,low,0.04896954299821691,0.10101010101010102,0
0.12121212121212122,low,0.07408712599323128,0.12121212121212122,0
0.14141414141414144,low,0.09911801992907598,0.14141414141414144,0
0.16161616161616163,low,0.11830646129272834,0.16161616161616163,0
0.18181818181818182,low,0.12689114313716923,0.18181818181818182,0
0.20202020202020204,low,0.12302947313984713,0.20202020202020204,0
0.22222222222222224,low,0.10837357436495734,0.22222222222222224,0
0.24242424242424243,low,0.08710980013612003,0.24242424242424243,0
0.26262626262626265,low,0.06413766227149774,0.26262626262626265,0
0.2828282828282829,low,0.04340693887902734,0.2828282828282829,0
0.30303030303030304,low,0.02708685485974294,0.30303030303030304,0
0.32323232323232326,low,0.015629472873233657,0.30303030303030304,0.020202020202020204
0.3434343434343435,low,0.008360778915882354,0.32323232323232326,0.020202020202020204
0.36363636363636365,low,0.004156306770552864,0.32323232323232326,0.04040404040404041
0.38383838383838387,low,0.0019243827525154958,0.3434343434343435,0.04040404040404041
0.4040404040404041,low,8.315625255306805e-4,0.3434343434343435,0.06060606060606061
0.42424242424242425,low,3.360115913039186e-4,0.36363636363636365,0.06060606060606061
0.4444444444444445,low,1.271897153254469e-4,0.36363636363636365,0.08080808080808081
0.4646464646464647,low,4.5177510420045644e-5,0.38383838383838387,0.08080808080808081
0.48484848484848486,low,1.5081889114533637e-5,0.38383838383838387,0.10101010101010102
0.5050505050505051,low,4.739182341586728e-6,0.4040404040404041,0.10101010101010102
0.5252525252525253,low,1.403719865528466e-6,0.4242424242424243,0.10101010101010102
0.5454545454545455,low,3.924362504149037e-7,0.4242424242424243,0.12121212121212122
0.5656565656565657,low,1.0368636228751976e-7,0.44444444444444453,0.12121212121212122
0.5858585858585859,low,2.5921645072659275e-8,0.46464646464646464,0.12121212121212122
0.6060606060606061,low,6.138905491341397e-9,0.46464646464646464,0.14141414141414144
0.6262626262626263,low,1.3787397997368576e-9,0.48484848484848486,0.14141414141414144
