time,variable,stock
1,state,0.7474747474747475
2,state,0.5525252525252525
3,state,0.4666666666666667
4,state,0.4454545454545455
5,state,0.49090909090909096
6,state,0.4787878787878788
7,state,0.4777777777777778
8,state,0.46666666666666673
9,state,0.49292929292929294
10,state,0.5323232323232323
11,state,0.5242424242424243
12,state,0.5151515151515152
13,state,0.5121212121212122
14,state,0.5181818181818182
15,state,0.5101010101010102
16,state,0.5141414141414142
17,state,0.47979797979797983
18,state,0.44949494949494956
19,state,0.5
20,state,0.5303030303030304
21,state,0.49090909090909096
22,state,0.5222222222222223
23,state,0.49393939393939396
24,state,0.5434343434343435
25,state,0.5131313131313132
26,state,0.4676767676767677
27,state,0.45252525252525255
28,state,0.4494949494949495
29,state,0.4696969696969697
30,state,0.491919191919192
31,state,0.5131313131313132
32,state,0.5242424242424243
33,state,0.5323232323232324
34,state,0.5070707070707071
35,state,0.5040404040404041
36,state,0.46060606060606063
37,state,0.4777777777777778
38,state,0.4595959595959596
39,state,0.43939393939393945
40,state,0.49393939393939396
41,state,0.5161616161616162
42,state,0.5131313131313132
43,state,0.5171717171717172
44,state,0.5080808080808081
45,state,0.5181818181818182
46,state,0.4878787878787879
47,state,0.5090909090909091
48,state,0.4363636363636364
49,state,0.4464646464646465
50,state,0.4444444444444445
51,state,0.4747474747474748
52,state,0.491919191919192
53,state,0.49090909090909096
54,state,0.45252525252525255
55,state,0.48181818181818187
56,state,0.48989898989898994
57,state,0.4747474747474748
58,state,0.4676767676767677
59,state,0.48080808080808085
60,state,0.49292929292929294
61,state,0.4878787878787879
62,state,0.503030303030303
63,state,0.5343434343434343
64,state,0.5303030303030304
65,state,0.5252525252525253
66,state,0.4838383838383839
67,state,0.46060606060606063
68,state,0.4787878787878788
69,state,0.5
70,state,0.4747474747474748
71,state,0.49898989898989904
72,state,0.4737373737373738
73,state,0.494949494949495
74,state,0.5
75,state,0.5343434343434343
76,state,0.5040404040404041
77,state,0.4868686868686869
78,state,0.48181818181818187
79,state,0.45151515151515154
80,state,0.4494949494949495
81,state,0.42020202020202024
82,state,0.4585858585858586
83,state,0.4595959595959596
84,state,0.4282828282828283
85,state,0.4747474747474748
86,state,0.48484848484848486
87,state,0.48181818181818187
88,state,0.4676767676767677
89,state,0.4414141414141415
90,state,0.47070707070707074
91,state,0.4737373737373738
92,state,0.5161616161616162
93,state,0.49898989898989904
94,state,0.501010101010101
95,state,0.5262626262626263
96,state,0.47575757575757577
97,state,0.45252525252525255
98,state,0.4777777777777778
99,state,0.5161616161616162
100,state,0.5383838383838384
101,state,0.49393939393939396
102,state,0.5161616161616162
103,state,0.5333333333333333
104,state,0.5252525252525253
105,state,0.4656565656565657
106,state,0.48888888888888893
107,state,0.5181818181818182
108,state,0.49898989898989904
109,state,0.502020202020202
110,state,0.503030303030303
111,state,0.4727272727272728
112,state,0.4636363636363637
